City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Burdur,TR,37.7203,30.2908,41.7,93,75,4.61,broken clouds
79,San Patricio,US,28.017,-97.5169,57.18,71,100,14.76,overcast clouds
80,Castro,BR,-24.7911,-50.0119,69.53,61,98,4.54,light rain
81,Biak,ID,-0.9131,122.8766,80.76,77,100,1.3,overcast clouds
82,Bethel,US,41.3712,-73.414,50.81,55,79,3.85,broken clouds
83,Dingle,PH,10.9995,122.6711,80.29,88,100,6.15,overcast clouds
84,Casper,US,42.8666,-106.3131,40.8,45,33,14.52,scattered clouds
85,Touros,BR,-5.1989,-35.4608,81.5,79,34,11.03,scattered clouds
86,Mehamn,NO,71.0357,27.8492,13.95,62,0,14.97,clear sky
87,Ilulissat,GL,69.2167,-51.1,12.52,80,100,5.84,overcast clouds
88,Harper,LR,4.375,-7.7169,79.34,84,57,8.14,light rain
89,Longyearbyen,SJ,78.2186,15.6401,10.24,67,40,18.41,scattered clouds
90,Chancay,PE,-11.5714,-77.2672,71.33,88,99,7.36,overcast clouds
91,Ucluelet,CA,48.9329,-125.5528,53.1,94,100,1.99,overcast clouds
92,Robertsport,LR,6.7533,-11.3686,81.37,79,7,8.61,light rain
93,Hermanus,ZA,-34.4187,19.2345,62.8,74,0,28.16,clear sky
94,Provideniya,RU,64.3833,-173.3,3.31,60,20,6.71,few clouds
95,Tubuala,PA,9.5167,-79.0333,77.32,88,100,2.64,overcast clouds
96,Russell,US,32.3502,-85.1999,56.98,82,75,0.0,broken clouds
97,Muros,ES,42.7762,-9.0603,51.84,84,29,18.1,scattered clouds
98,Albany,US,42.6001,-73.9662,42.8,71,100,1.54,overcast clouds
99,Teknaf,BD,20.8624,92.3058,68.83,71,1,4.83,clear sky
100,Namatanai,PG,-3.6667,152.4333,85.28,64,91,3.11,overcast clouds
101,Puerto Ayora,EC,-0.7393,-90.3518,70.56,87,73,11.01,broken clouds
102,Padang,ID,-0.9492,100.3543,75.25,80,90,4.43,overcast clouds
103,Port Elizabeth,ZA,-33.918,25.5701,64.69,77,75,17.27,broken clouds
104,Marathon,US,44.9,-89.7668,20.44,70,58,12.37,broken clouds
105,Yellowknife,CA,62.456,-114.3525,11.41,91,90,13.8,light snow
106,Kultuk,RU,51.7208,103.6956,28.15,83,98,4.0,overcast clouds
107,Airai,TL,-8.9266,125.4092,70.81,71,52,0.4,broken clouds
108,Richards Bay,ZA,-28.783,32.0377,65.28,74,100,4.07,overcast clouds
109,Saint-Pierre,RE,-21.3393,55.4781,78.48,67,90,0.0,overcast clouds
110,Constitucion,CL,-35.3333,-72.4167,57.96,75,4,15.14,clear sky
111,Viedma,AR,-40.8135,-62.9967,65.12,44,0,8.08,clear sky
112,San Cristobal,VE,7.7669,-72.225,71.78,98,89,0.49,overcast clouds
113,Yulara,AU,-25.2406,130.9889,66.04,59,0,12.66,clear sky
114,Puerto Palomas,MX,31.7667,-107.6167,51.94,32,92,11.36,overcast clouds
115,Salinopolis,BR,-0.6136,-47.3561,79.97,82,99,8.16,overcast clouds
116,Atuona,PF,-9.8,-139.0333,78.73,78,12,17.65,light rain
117,Santona,ES,43.4439,-3.4576,49.93,84,100,11.05,light rain
118,Madimba,TZ,-10.4,40.3333,77.29,82,98,6.17,overcast clouds
119,Dikson,RU,73.5069,80.5464,-1.14,96,100,3.09,overcast clouds
120,Ponta Do Sol,PT,32.6667,-17.1,64.71,65,100,6.15,overcast clouds
121,Port Hardy,CA,50.6996,-127.4199,48.38,87,90,3.44,light rain
122,Kapaa,US,22.0752,-159.319,82.38,72,29,1.99,scattered clouds
123,Severo-Kurilsk,RU,50.6789,156.125,35.53,87,87,7.14,overcast clouds
124,Pisco,PE,-13.7,-76.2167,66.25,82,0,14.97,clear sky
125,Sarangani,PH,5.4033,125.4636,80.92,79,100,7.83,overcast clouds
126,Aksaray,TR,38.3726,34.0254,42.39,87,15,2.28,few clouds
127,Ballina,AU,-28.8667,153.5667,78.78,94,99,15.79,overcast clouds
128,Berbera,SO,10.4396,45.0143,79.72,78,35,4.52,light rain
129,Birjand,IR,32.8663,59.2211,41.47,75,0,4.61,clear sky
130,Georgetown,MY,5.4112,100.3354,77.9,94,20,0.0,few clouds
131,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,75,67,16.55,broken clouds
132,Mar Del Plata,AR,-38.0023,-57.5575,66.22,89,0,1.01,clear sky
133,Dzerzhinskoye,RU,56.8344,95.2283,25.9,96,100,8.57,light snow
134,Lianzhou,CN,24.7811,112.3825,54.45,73,0,2.98,clear sky
135,Tura,IN,25.5198,90.2201,56.93,63,0,3.51,clear sky
136,Grants,US,35.1473,-107.8514,43.03,45,1,4.61,clear sky
137,Guiglo,CI,6.5456,-7.4966,73.22,72,19,2.33,few clouds
138,Jalu,LY,29.0331,21.5482,69.76,28,1,14.94,clear sky
139,Pizarro,CO,4.9533,-77.366,75.29,94,100,9.4,moderate rain
140,Finschhafen,PG,-6.6024,147.8681,85.73,67,96,5.73,light rain
141,Colombo,LK,6.9319,79.8478,73.35,90,93,5.61,overcast clouds
142,Tuktoyaktuk,CA,69.4541,-133.0374,-0.4,78,40,16.11,scattered clouds
143,Aykhal,RU,66.0,111.5,-1.64,99,100,7.31,overcast clouds
144,Huarmey,PE,-10.0681,-78.1522,67.51,84,89,8.05,overcast clouds
145,Lompoc,US,34.6391,-120.4579,75.09,57,1,11.5,clear sky
146,Marawi,PH,7.9986,124.2928,68.65,85,100,1.1,overcast clouds
147,Boende,CD,-0.2167,20.8667,71.49,93,52,0.72,broken clouds
148,Roald,NO,62.5833,6.1333,32.32,93,40,6.91,light snow
149,Saskylakh,RU,71.9167,114.0833,-13.45,98,55,8.16,broken clouds
150,Chara,RU,56.9064,118.2631,-7.96,75,2,1.81,clear sky
151,Bahia Honda,CU,22.9036,-83.1592,72.27,75,23,10.89,few clouds
152,Svetlyy,RU,54.675,20.1347,37.45,84,100,21.05,overcast clouds
153,Kahului,US,20.8947,-156.47,83.46,71,40,23.02,scattered clouds
154,Urusha,RU,54.05,122.9,1.0,97,96,1.43,overcast clouds
155,Maturin,VE,9.75,-63.1767,75.54,84,35,5.99,scattered clouds
156,Vung Tau,VN,10.346,107.0843,76.64,86,100,7.23,overcast clouds
157,Kaitangata,NZ,-46.2817,169.8464,57.7,72,100,5.48,overcast clouds
158,Usinsk,RU,65.9939,57.5281,-6.83,100,90,4.56,overcast clouds
159,Clyde River,CA,70.4692,-68.5914,-1.03,99,100,3.29,overcast clouds
160,Vaini,TO,-21.2,-175.2,87.96,79,75,6.91,broken clouds
161,Eenhana,NA,-17.4667,16.3333,74.7,14,5,11.83,clear sky
162,Udachnyy,RU,66.4167,112.4,-4.29,98,100,5.97,overcast clouds
163,Cabo San Lucas,MX,22.8909,-109.9124,79.61,71,90,3.44,overcast clouds
164,Leningradskiy,RU,69.3833,178.4167,-23.31,97,99,5.03,overcast clouds
165,Oussouye,SN,12.485,-16.5469,78.98,78,93,5.75,overcast clouds
166,Puerto Escondido,MX,15.85,-97.0667,79.84,76,6,2.15,clear sky
167,Samarai,PG,-10.6167,150.6667,84.94,70,98,13.24,overcast clouds
168,Aklavik,CA,68.2191,-135.0107,-4.0,77,90,9.22,overcast clouds
169,Katsuura,JP,35.1333,140.3,60.19,56,0,8.32,clear sky
170,Balkhash,KZ,46.844,74.9804,22.28,57,18,15.84,few clouds
171,Chapais,CA,49.7834,-74.8492,28.18,99,100,2.71,light snow
172,Pokhara,NP,28.2333,83.9833,53.98,69,25,4.23,scattered clouds
173,Tuatapere,NZ,-46.1333,167.6833,51.22,98,100,5.08,light rain
174,Salvador,SV,13.8333,-88.9167,71.17,76,99,0.69,overcast clouds
175,Bathsheba,BB,13.2167,-59.5167,77.61,88,20,5.75,few clouds
176,Isangel,VU,-19.55,169.2667,87.91,66,75,9.22,broken clouds
177,East London,ZA,-33.0153,27.9116,62.96,79,100,14.43,light rain
178,Mount Gambier,AU,-37.8333,140.7667,55.31,67,90,24.16,overcast clouds
179,Shingu,JP,33.7333,135.9833,56.39,65,0,5.12,clear sky
180,Nhulunbuy,AU,-12.2333,136.7667,88.41,66,75,6.91,broken clouds
181,Coquimbo,CL,-29.9533,-71.3436,60.53,82,75,8.05,broken clouds
182,Sarh,TD,9.1429,18.3923,67.91,88,0,0.0,clear sky
183,Zhenhai,CN,24.2582,118.0905,65.08,63,6,12.26,clear sky
184,Kuching,MY,1.55,110.3333,75.42,100,40,0.0,fog
185,Hasaki,JP,35.7333,140.8333,52.29,56,0,5.93,clear sky
186,Butterworth,MY,5.3991,100.3638,77.09,93,20,0.0,few clouds
187,General Roca,AR,-39.0333,-67.5833,81.0,19,15,17.83,few clouds
188,Guerrero Negro,MX,27.9769,-114.0611,73.11,43,0,7.94,clear sky
189,Bredasdorp,ZA,-34.5322,20.0403,62.28,77,17,25.72,few clouds
190,Esmeraldas,BR,-19.7625,-44.3139,78.04,82,29,5.3,scattered clouds
191,Lemont,US,41.6736,-88.0017,32.32,83,90,18.41,overcast clouds
192,Lahij,YE,13.1667,44.5833,72.97,70,11,3.4,few clouds
193,Acapulco,MX,16.8634,-99.8901,79.41,79,5,5.06,clear sky
194,Maningrida,AU,-12.0667,134.2667,90.09,53,79,3.42,broken clouds
195,Maniitsoq,GL,65.4167,-52.9,25.29,69,100,9.78,overcast clouds
196,Mahebourg,MU,-20.4081,57.7,75.49,83,40,3.44,scattered clouds
197,Lam Luk Ka,TH,13.9323,100.7494,76.98,79,20,5.75,few clouds
198,Maraba,BR,-5.3686,-49.1178,82.58,74,75,4.61,very heavy rain
199,Victoria,HK,22.2855,114.1577,69.24,64,9,6.15,clear sky
200,Quelimane,MZ,-17.8786,36.8883,76.95,83,75,7.0,broken clouds
201,Kemlya,RU,54.6963,45.2424,33.75,93,100,13.0,overcast clouds
202,Qaanaaq,GL,77.484,-69.3632,-2.83,79,100,6.64,overcast clouds
203,Dolinsk,RU,47.35,142.8,15.66,68,38,4.72,scattered clouds
204,Flinders,AU,-34.5833,150.8552,64.2,91,100,7.0,light rain
205,Saint Anthony,US,45.0205,-93.218,21.04,48,1,1.01,clear sky
206,Ribeira Grande,PT,38.5167,-28.7,63.45,67,58,22.41,broken clouds
207,Port Blair,IN,11.6667,92.75,78.12,84,99,2.37,overcast clouds
208,Matara,LK,5.9485,80.5353,75.34,92,99,6.71,overcast clouds
209,Nouadhibou,MR,20.931,-17.0347,70.14,79,16,7.63,few clouds
210,Koslan,RU,63.4564,48.8989,13.12,93,100,5.55,overcast clouds
211,Sabya,SA,17.1495,42.6254,82.02,67,3,5.44,clear sky
212,Kingsport,US,36.5484,-82.5618,53.71,82,90,1.01,moderate rain
213,Iqaluit,CA,63.7506,-68.5145,22.73,74,40,9.22,scattered clouds
214,Mongoumba,CF,3.6415,18.5936,72.09,58,10,1.5,clear sky
215,Banda Aceh,ID,5.5577,95.3222,78.12,84,99,1.92,overcast clouds
216,Port Lincoln,AU,-34.7333,135.8667,60.03,52,100,19.33,overcast clouds
217,Isiro,CD,2.7739,27.616,65.98,78,77,3.0,broken clouds
218,Anadyr,RU,64.75,177.4833,-8.9,77,75,11.18,fog
219,Te Anau,NZ,-45.4167,167.7167,53.89,93,100,5.97,light rain
220,Hervey Bay,AU,-25.2986,152.8535,80.04,92,100,8.01,overcast clouds
221,Lagoa,PT,39.05,-27.9833,61.84,67,73,32.55,broken clouds
222,Baie-Comeau,CA,49.2168,-68.1489,33.28,80,1,6.91,clear sky
223,Barrow,US,71.2906,-156.7887,-10.46,97,89,13.8,overcast clouds
224,Iskateley,RU,67.6803,53.1512,3.42,94,59,4.36,broken clouds
225,Tasiilaq,GL,65.6145,-37.6368,16.65,54,30,9.42,scattered clouds
226,Kaka,TM,37.3482,59.6143,47.53,63,100,5.93,overcast clouds
227,Beeville,US,28.4008,-97.7483,57.29,76,75,10.36,broken clouds
228,Alexandria,EG,31.2156,29.9553,60.76,88,23,2.3,few clouds
229,Baruun-Urt,MN,46.6806,113.2792,13.51,82,20,11.5,few clouds
230,Nova Borova,UA,50.693,28.6345,32.34,81,5,13.89,clear sky
231,Onega,RU,63.9061,38.1404,24.8,94,100,12.91,light snow
232,Lamar,US,33.6668,-95.5836,51.71,40,1,14.97,clear sky
233,Vardo,NO,70.3705,31.1107,25.25,70,87,11.9,overcast clouds
234,Gladstone,AU,-23.85,151.25,78.73,83,75,10.36,broken clouds
235,Gloggnitz,AT,47.6749,15.9389,35.02,78,95,0.72,overcast clouds
236,Cayenne,GF,4.9333,-52.3333,81.09,86,20,3.44,few clouds
237,Asau,RO,46.4333,26.4,33.76,73,2,6.17,clear sky
238,Omsukchan,RU,62.5333,155.8,-27.0,99,25,4.38,scattered clouds
239,Kieta,PG,-6.2167,155.6333,85.86,65,62,3.8,broken clouds
240,Nanortalik,GL,60.1432,-45.2371,39.06,98,100,10.63,moderate rain
241,Dabakala,CI,8.3667,-4.4333,78.55,52,1,0.72,clear sky
242,Garissa,KE,-0.4536,39.6401,80.33,72,93,12.5,overcast clouds
243,College,US,64.8569,-147.8028,-2.78,70,100,1.01,light snow
244,Odweyne,SO,9.4092,45.064,68.18,57,75,12.55,broken clouds
245,Mana,GF,5.6592,-53.7767,78.28,85,76,6.29,broken clouds
246,Rafaela,AR,-31.2503,-61.4867,74.05,61,0,4.0,clear sky
247,Luderitz,NA,-26.6481,15.1594,58.46,95,6,2.33,clear sky
248,Gondanglegi,ID,-7.7479,112.0132,80.73,79,95,10.76,light rain
249,The Pas,CA,53.8251,-101.2541,14.02,79,90,13.8,light snow
250,Bambui,BR,-20.0064,-45.9769,71.64,67,35,4.05,scattered clouds
251,Faro,PT,37.0194,-7.9322,46.18,100,20,4.61,few clouds
252,Ixtapa,MX,20.7,-105.2,74.66,67,48,1.83,scattered clouds
253,Mahon,ES,39.8885,4.2658,48.76,87,75,6.91,broken clouds
254,Tutoia,BR,-2.7619,-42.2744,84.18,77,93,11.97,overcast clouds
255,Awjilah,LY,29.1081,21.2869,71.11,27,2,16.06,clear sky
256,Port Macquarie,AU,-31.4333,152.9167,71.89,100,90,12.66,light rain
257,Xining,CN,36.6167,101.7667,26.67,41,14,1.92,few clouds
258,Ewa Beach,US,21.3156,-158.0072,83.57,61,1,13.8,clear sky
259,Portugalete,ES,43.321,-3.0206,49.48,85,75,4.0,light rain
260,Henties Bay,NA,-22.116,14.2845,59.86,94,7,2.91,clear sky
261,Merauke,ID,-8.4667,140.3333,84.0,68,100,7.85,overcast clouds
262,Lebu,CL,-37.6167,-73.65,55.0,92,10,13.73,clear sky
263,Svobodnyy,RU,51.4,128.1333,10.6,86,51,8.88,broken clouds
264,Izhevskoye,RU,54.5567,40.8703,34.61,81,100,14.61,overcast clouds
265,Bengkulu,ID,-3.8004,102.2655,78.8,80,97,2.66,overcast clouds
266,Ambilobe,MG,-13.2,49.05,75.99,79,95,2.3,overcast clouds
267,Evensk,RU,61.95,159.2333,-8.88,81,1,12.24,clear sky
268,Hay River,CA,60.8156,-115.7999,12.18,85,90,3.44,light snow
269,Jaque,PA,7.5175,-78.1703,77.72,85,90,0.67,light rain
270,Geraldton,AU,-28.7667,114.6,88.21,12,0,19.57,clear sky
271,Krasnoselkup,RU,65.7,82.4667,1.54,96,99,10.38,overcast clouds
272,Nurota,UZ,40.5614,65.6886,35.69,67,100,8.61,overcast clouds
273,Oparino,RU,59.8518,48.2783,17.82,93,100,9.73,light snow
274,Lorengau,PG,-2.0226,147.2712,84.99,66,100,6.15,overcast clouds
275,Mandalgovi,MN,45.7625,106.2708,21.99,63,0,9.01,clear sky
276,Loikaw,MM,19.6742,97.2094,60.1,97,19,0.94,few clouds
277,Suhbaatar,MN,50.2314,106.2078,7.11,96,52,3.11,broken clouds
278,Bereda,ES,43.2686,-7.5406,48.92,100,93,6.58,light rain
279,Botwood,CA,49.1499,-55.3482,50.9,98,100,8.23,overcast clouds
280,Savannah Bight,HN,16.45,-85.85,73.45,75,72,11.07,broken clouds
281,Talnakh,RU,69.4865,88.3972,2.1,96,100,6.15,overcast clouds
282,Luganville,VU,-15.5333,167.1667,83.71,66,0,8.12,clear sky
283,Broome,US,42.2506,-75.833,43.84,71,100,1.01,light rain
284,Terney,RU,45.0503,136.6092,24.42,65,66,12.33,broken clouds
285,Dicabisagan,PH,17.0818,122.4157,76.03,93,100,5.3,light rain
286,Paracuru,BR,-3.41,-39.0306,82.42,76,79,10.54,broken clouds
287,Coahuayana,MX,18.7333,-103.6833,77.74,76,5,3.13,clear sky
288,Tanete,ID,-3.9443,119.7848,82.44,82,67,2.84,broken clouds
289,Klaksvik,FO,62.2266,-6.589,36.52,67,73,37.76,broken clouds
290,Tommot,RU,58.9564,126.2925,-11.45,98,44,1.99,scattered clouds
291,Kandrian,PG,-6.2167,149.55,85.15,68,100,2.66,overcast clouds
292,Taungdwingyi,MM,20.0167,95.55,68.74,91,4,1.68,clear sky
293,Seminole,US,28.7086,-81.2081,70.27,81,99,1.01,overcast clouds
294,Kruisfontein,ZA,-34.0033,24.7314,61.88,80,100,18.39,overcast clouds
295,Mogadishu,SO,2.0371,45.3438,80.94,80,100,15.59,light rain
296,Pokrovsk,UA,48.282,37.1758,26.28,79,0,7.25,clear sky
297,Pamanukan,ID,-6.2842,107.8106,81.93,74,92,2.08,overcast clouds
298,Mitrofanovka,RU,49.9708,39.6939,25.75,90,13,7.74,few clouds
